
>>> MODE [A] START <<<
It | ResNorm  | Merit    | dt      | CosAlign| Step  | Status
42 | 2.857e-01| 4.081e-02| 5.31e-02| 0.44    | SNIPER| REJ[T1]->RETRY
43 | 2.857e-01| 4.081e-02| 5.84e-02| 0.37    | SNIPER| ACC[Rescue]
44 | 2.835e-01| 4.019e-02| 6.43e-02| 0.76    | SNIPER| ACC[Rescue]
45 | 2.823e-01| 3.984e-02| 7.07e-02| 0.62    | SNIPER| ACC[Rescue]
46 | 2.818e-01| 3.971e-02| 7.78e-02| 0.43    | SNIPER| ACC[Rescue]
47 | 2.813e-01| 3.957e-02| 8.56e-02| 0.42    | SNIPER| ACC[Rescue]
48 | 2.809e-01| 3.945e-02| 9.41e-02| 0.41    | SNIPER| ACC[Rescue]
49 | 2.805e-01| 3.934e-02| 1.04e-01| 0.42    | SNIPER| ACC[Rescue]
50 | 2.802e-01| 3.925e-02| 1.14e-01| 0.43    | SNIPER| ACC[Rescue]
51 | 2.799e-01| 3.919e-02| 1.25e-01| 0.46    | SNIPER| ACC[Rescue]
52 | 2.798e-01| 3.915e-02| 1.38e-01| 0.50    | SNIPER| ACC[Rescue]
53 | 2.798e-01| 3.915e-02| 6.89e-02| 0.57    | SNIPER| REJ[T1]->RETRY
54 | 2.798e-01| 3.915e-02| 7.58e-02| 0.38    | SNIPER| ACC[Rescue]
55 | 2.761e-01| 3.811e-02| 8.34e-02| 0.77    | SNIPER| ACC[Rescue]
56 | 2.746e-01| 3.771e-02| 4.17e-02| 0.57    | SNIPER| REJ[T1]->RETRY
57 | 2.746e-01| 3.771e-02| 4.59e-02| 0.56    | SNIPER| ACC[Rescue]
58 | 2.741e-01| 3.756e-02| 5.04e-02| 0.55    | SNIPER| ACC[Rescue]
59 | 2.735e-01| 3.741e-02| 5.55e-02| 0.50    | SNIPER| ACC[Rescue]
60 | 2.730e-01| 3.727e-02| 6.10e-02| 0.47    | SNIPER| ACC[Rescue]
61 | 2.725e-01| 3.714e-02| 6.71e-02| 0.44    | SNIPER| ACC[Rescue]
62 | 2.721e-01| 3.701e-02| 7.39e-02| 0.42    | SNIPER| ACC[Rescue]
63 | 2.717e-01| 3.690e-02| 8.12e-02| 0.41    | SNIPER| ACC[Rescue]
64 | 2.713e-01| 3.680e-02| 8.94e-02| 0.40    | SNIPER| ACC[Rescue]
65 | 2.710e-01| 3.671e-02| 9.83e-02| 0.40    | SNIPER| ACC[Rescue]
66 | 2.707e-01| 3.664e-02| 1.08e-01| 0.41    | SNIPER| ACC[Rescue]
67 | 2.705e-01| 3.659e-02| 1.19e-01| 0.43    | SNIPER| ACC[Rescue]
68 | 2.704e-01| 3.656e-02| 1.31e-01| 0.47    | SNIPER| ACC[Rescue]
69 | 2.704e-01| 3.656e-02| 6.54e-02| 0.52    | SNIPER| REJ[T1]->RETRY
70 | 2.704e-01| 3.656e-02| 7.20e-02| 0.37    | SNIPER| ACC[Rescue]
71 | 2.672e-01| 3.569e-02| 7.92e-02| 0.78    | SNIPER| ACC[Rescue]
72 | 2.659e-01| 3.536e-02| 3.96e-02| 0.57    | SNIPER| REJ[T1]->RETRY
73 | 2.659e-01| 3.536e-02| 4.35e-02| 0.56    | SNIPER| ACC[Rescue]
74 | 2.654e-01| 3.523e-02| 4.79e-02| 0.54    | SNIPER| ACC[Rescue]
75 | 2.650e-01| 3.510e-02| 5.27e-02| 0.50    | SNIPER| ACC[Rescue]
76 | 2.645e-01| 3.499e-02| 5.79e-02| 0.46    | SNIPER| ACC[Rescue]
77 | 2.641e-01| 3.488e-02| 6.37e-02| 0.44    | SNIPER| ACC[Rescue]
78 | 2.637e-01| 3.477e-02| 7.01e-02| 0.41    | SNIPER| ACC[Rescue]
79 | 2.634e-01| 3.468e-02| 7.71e-02| 0.40    | SNIPER| ACC[Rescue]
80 | 2.630e-01| 3.459e-02| 8.48e-02| 0.39    | SNIPER| ACC[Rescue]
81 | 2.628e-01| 3.452e-02| 9.33e-02| 0.39    | SNIPER| ACC[Rescue]
82 | 2.625e-01| 3.446e-02| 1.03e-01| 0.39    | SNIPER| ACC[Rescue]
83 | 2.624e-01| 3.442e-02| 1.13e-01| 0.41    | SNIPER| ACC[Rescue]
84 | 2.623e-01| 3.439e-02| 1.24e-01| 0.44    | SNIPER| ACC[Rescue]
85 | 2.623e-01| 3.439e-02| 6.21e-02| 0.48    | SNIPER| REJ[T1]->RETRY
86 | 2.623e-01| 3.439e-02| 6.83e-02| 0.35    | SNIPER| ACC[Rescue]
87 | 2.594e-01| 3.366e-02| 7.51e-02| 0.78    | SNIPER| ACC[Rescue]
88 | 2.584e-01| 3.337e-02| 3.76e-02| 0.56    | SNIPER| REJ[T1]->RETRY
89 | 2.584e-01| 3.337e-02| 4.13e-02| 0.56    | SNIPER| ACC[Rescue]
90 | 2.579e-01| 3.326e-02| 4.55e-02| 0.54    | SNIPER| ACC[Rescue]
91 | 2.575e-01| 3.316e-02| 5.00e-02| 0.50    | SNIPER| ACC[Rescue]
92 | 2.571e-01| 3.305e-02| 5.50e-02| 0.46    | SNIPER| ACC[Rescue]
93 | 2.568e-01| 3.296e-02| 6.05e-02| 0.43    | SNIPER| ACC[Rescue]
94 | 2.564e-01| 3.287e-02| 6.66e-02| 0.41    | SNIPER| ACC[Rescue]
95 | 2.561e-01| 3.279e-02| 7.32e-02| 0.39    | SNIPER| ACC[Rescue]
96 | 2.558e-01| 3.272e-02| 8.05e-02| 0.38    | SNIPER| ACC[Rescue]
97 | 2.556e-01| 3.265e-02| 8.86e-02| 0.38    | SNIPER| ACC[Rescue]
98 | 2.554e-01| 3.260e-02| 9.75e-02| 0.38    | SNIPER| ACC[Rescue]
99 | 2.552e-01| 3.256e-02| 1.07e-01| 0.39    | SNIPER| ACC[Rescue]
